url,name,header,rooms,facilities,rating_overall,num_listing_reviews,price_per_night,superhost,sp_url,location,fee_occ_tax,fee_service,fee_cleaning,rating_cleanliness,rating_accuracy,rating_communication,rating_location,rating_check_in,rating_value,host_joined,num_host_ratings,host_languages,host_response_rate,host_response_time,house_rules,amenities
/rooms/42563979?adults=2&children=0&infants=0&check_in=2021-10-29&check_out=2021-10-31&previous_page_section_name=1000&translate_ugc=false&federated_search_id=c35b7fca-5c41-4383-9a2d-c8843ea7f821,Gramercy park Apartment (2beds),Entire rental unit in Union Square,3 guests · Studio · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,4.66, (32 reviews),$107,empty,https://www.airbnb.com/s/Manhattan--New-York--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&query=Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&place_id=ChIJYeZuBI9YwokRjMDs_IEyCwo&adults=2&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"New York, United States",$35,$35,$214,4.6,4.8,4.8,5.0,4.8,4.6,Joined in February 2020,32 Reviews,Response rate: 80%,Response rate: 80%,Response time: within an hour,House rulesCheck-in: After 3:00 PMCheckout: 11:00 AMSelf check-in with lockboxNot suitable for infants (under 2 years)No smokingNo petsNo parties or eventsShow more,"{""amenity_Bathroom"": [""Hair dryer"", ""Hot water""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers"", ""Iron""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Refrigerator"", ""Microwave"", ""Cooking basics"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Coffee maker""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free parking on premises"", ""Free street parking""], ""amenity_Services"": [""Self check-in"", ""Lockbox"", ""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Security cameras on property"", ""Unavailable: TV"", ""Unavailable: Washer"", ""Unavailable: Shampoo""]}"
/rooms/35220744?adults=2&children=0&infants=0&check_in=2021-10-22&check_out=2021-10-24&previous_page_section_name=1000&translate_ugc=false&federated_search_id=c35b7fca-5c41-4383-9a2d-c8843ea7f821,Amazing Views in The Heart of Time Square,Entire rental unit in Hell's Kitchen,3 guests · 1 bedroom · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,4.91, (117 reviews),$305,empty,https://www.airbnb.com/s/Manhattan--New-York--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&query=Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&place_id=ChIJYeZuBI9YwokRjMDs_IEyCwo&adults=2&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"New York, United States",$97,$80,$610,4.9,4.8,4.8,4.9,4.6,4.8,Joined in May 2019,117 Reviews,"Languages: English, Español",Response rate: 70%,Response time: within an hour,House rulesCheck-in: After 3:00 PMCheckout: 12:00 PMNo smokingNo petsNo parties or eventsShow more,"{""amenity_Bathroom"": [""Hair dryer"", ""Shampoo"", ""Hot water""], ""amenity_Bedroom and laundry"": [""Washer"", ""Dryer"", ""Essentials"", ""Hangers"", ""Bed linens"", ""Extra pillows and blankets"", ""Iron""], ""amenity_Entertainment"": [""TV with standard cable""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Refrigerator"", ""Microwave"", ""Cooking basics"", ""Dishes and silverware"", ""Dishwasher"", ""Stove"", ""Oven"", ""Coffee maker""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free street parking"", ""Elevator"", ""Single level home""], ""amenity_Services"": [""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Security cameras on property""]}"
/rooms/50913633?adults=2&children=0&infants=0&check_in=2021-10-22&check_out=2021-10-24&previous_page_section_name=1000&translate_ugc=false&federated_search_id=c35b7fca-5c41-4383-9a2d-c8843ea7f821,FREEMAN'S HOUSE Charming Studio W/ Terrace  1402,Entire rental unit in Manhattan,2 guests · 1 bedroom · 1 bed · 1 bath,Wifi · Air conditioning · Heating,4.67, (3 reviews),$159,empty,https://www.airbnb.com/s/Manhattan--New-York--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&query=Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&place_id=ChIJYeZuBI9YwokRjMDs_IEyCwo&adults=2&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"New York, United States",$53,$60,$318,4.7,3.3,4.3,3.7,5.0,3.3,Joined in August 2019,Identity verified,"Languages: English, עברית",empty,"Languages: English, עברית",House rulesCheck-in: 3:00 PM - 10:00 PMCheckout: 11:00 AMNot suitable for infants (under 2 years)No smokingNo petsNo parties or events,"{""amenity_Bathroom"": [""Hair dryer"", ""Shampoo"", ""Conditioner"", ""Body soap"", ""Hot water""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers"", ""Bed linens"", ""Room-darkening shades"", ""Iron"", ""Clothing storage""], ""amenity_Entertainment"": [""TV"", ""Bluetooth sound system"", ""Books and reading material""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""First aid kit""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Dishes and silverware"", ""Mini fridge"", ""Hot water kettle"", ""Coffee maker: Keurig coffee machine"", ""Trash compactor"", ""Coffee""], ""amenity_Location features"": [""Private entrance"", ""Laundromat nearby""], ""amenity_Outdoor"": [""Patio or balcony"", ""Outdoor furniture""], ""amenity_Parking and facilities"": [""Free street parking"", ""Elevator""], ""amenity_Services"": [""Luggage dropoff allowed"", ""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Kitchen"", ""Unavailable: Washer""]}"
/rooms/738516?adults=2&children=0&infants=0&check_in=2021-10-22&check_out=2021-10-24&previous_page_section_name=1000&translate_ugc=false&federated_search_id=c35b7fca-5c41-4383-9a2d-c8843ea7f821,West Side Charm - Central Park! Uh,Entire rental unit in Manhattan,2 guests · 1 bedroom · 0 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,4.42, (306 reviews),$179,empty,https://www.airbnb.com/s/Manhattan--New-York--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&query=Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&place_id=ChIJYeZuBI9YwokRjMDs_IEyCwo&adults=2&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"New York, United States",$60,$69,$358,4.2,4.5,4.7,4.9,4.6,4.5,Joined in October 2012,360 Reviews,Response rate: 100%,Response rate: 100%,Response time: within an hour,House rulesCheck-in: 3:00 PM - 9:00 PMCheckout: 12:00 PMPets are allowedShow more,"{""amenity_Bathroom"": [""Hair dryer"", ""Shampoo"", ""Hot water""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers"", ""Iron""], ""amenity_Entertainment"": [""TV with standard cable""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Refrigerator"", ""Microwave"", ""Cooking basics"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Coffee maker""], ""amenity_Parking and facilities"": [""Free street parking""], ""amenity_Services"": [""Pets allowed"", ""Host greets you"", ""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Security cameras on property"", ""Unavailable: Washer"", ""Unavailable: Private entrance""]}"
/rooms/4455094?adults=2&children=0&infants=0&check_in=2021-10-08&check_out=2021-10-10&previous_page_section_name=1000&translate_ugc=false&federated_search_id=c35b7fca-5c41-4383-9a2d-c8843ea7f821,West Village Style and Charm -Thoroughly Sanitized,Private room in West Village,2 guests · 1 bedroom · 1 bed · 1.5 shared baths,Wifi · Air conditioning · Kitchen · Heating,4.97, (220 reviews),$130,SUPERHOST,https://www.airbnb.com/s/Manhattan--New-York--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&query=Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&place_id=ChIJYeZuBI9YwokRjMDs_IEyCwo&adults=2&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"New York, United States",$40,$20,$260,5.0,5.0,5.0,5.0,4.9,4.9,Joined in March 2014,234 Reviews,Language: English,Response rate: 100%,Response time: within an hour,House rulesCheck-in: After 3:00 PMCheckout: 12:00 PMNot suitable for children and infantsNo smokingNo parties or eventsPets are allowedShow more,"{""amenity_Bathroom"": [""Hair dryer"", ""Cleaning products"", ""Hotel shampoo"", ""Hotel conditioner"", ""Hotel body soap"", ""Hot water"", ""Shower gel""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers"", ""Bed linens"", ""Extra pillows and blankets"", ""Iron"", ""Clothing storage""], ""amenity_Entertainment"": [""TV with standard cable"", ""Bose Bluetooth sound system"", ""Books and reading material""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Portable fans"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Lock on bedroom door"", ""First aid kit""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Refrigerator"", ""Microwave"", ""Cooking basics"", ""Dishes and silverware"", ""Freezer"", ""Stove"", ""Oven"", ""Hot water kettle"", ""Coffee maker: Keurig coffee machine"", ""Wine glasses"", ""Toaster"", ""Coffee""], ""amenity_Location features"": [""Laundromat nearby""], ""amenity_Parking and facilities"": [""Free street parking"", ""Paid parking off premises""], ""amenity_Services"": [""Pets allowed"", ""Long term stays allowed"", ""Cleaning before checkout""], ""amenity_Not included"": [""Unavailable: Security cameras on property"", ""Unavailable: Washer"", ""Unavailable: Private entrance""]}"
/rooms/47162719?adults=2&children=0&infants=0&check_in=2021-10-22&check_out=2021-10-24&previous_page_section_name=1000&translate_ugc=false&federated_search_id=c35b7fca-5c41-4383-9a2d-c8843ea7f821,"Writer's Sun filled cozy room , super convenient",Private room in Manhattan,2 guests · 1 bedroom · 1 bed · 1 shared bath,Wifi · Air conditioning · Kitchen · Heating,4.97, (37 reviews),$115,SUPERHOST,https://www.airbnb.com/s/Manhattan--New-York--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&query=Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&place_id=ChIJYeZuBI9YwokRjMDs_IEyCwo&adults=2&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"New York, United States",$37,$30,$230,4.8,5.0,4.9,5.0,4.9,5.0,Joined in October 2014,141 Reviews,"Languages: 中文 (简体), English",Response rate: 100%,Response time: within an hour,House rulesCheck-in: After 3:00 PMCheckout: 11:00 AMNot suitable for infants (under 2 years)No smokingNo parties or eventsPets are allowedShow more,"{""amenity_Bathroom"": [""Hair dryer"", ""Shampoo"", ""Hot water""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers"", ""Iron""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm"", ""Fire extinguisher""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Refrigerator"", ""Microwave"", ""Cooking basics"", ""Stove"", ""Oven"", ""Coffee maker""], ""amenity_Services"": [""Pets allowed"", ""Breakfast"", ""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Security cameras on property"", ""Unavailable: Washer"", ""Unavailable: Private entrance""]}"
/rooms/49440252?adults=2&children=0&infants=0&check_in=2021-10-29&check_out=2021-10-31&previous_page_section_name=1000&translate_ugc=false&federated_search_id=c35b7fca-5c41-4383-9a2d-c8843ea7f821,Hudson River View King Bed at Higher Floor,Hotel room in Times Square/Theatre District,2 guests · 1 bedroom · 1 bed · 1 private bath,Wifi · Air conditioning · Heating,4.72, (352 reviews),$298,empty,https://www.airbnb.com/s/Manhattan--New-York--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&query=Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&place_id=ChIJYeZuBI9YwokRjMDs_IEyCwo&adults=2&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"New York, United States",$60,$0,$627,4.8,4.7,4.6,4.9,4.8,4.7,Joined in April 2021,502 Reviews,Response rate: 95%,Response rate: 95%,Response time: within an hour,House rulesCheck-in: After 4:00 PMCheckout: 11:00 AMNo smokingNo parties or eventsPets are allowed,"{""amenity_Bathroom"": [""Hair dryer"", ""Shampoo""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers"", ""Iron""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm"", ""Lock on bedroom door""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Parking and facilities"": [""Elevator"", ""Gym""], ""amenity_Services"": [""Pets allowed"", ""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Security cameras on property"", ""Unavailable: Kitchen"", ""Unavailable: Washer"", ""Unavailable: Private entrance""]}"
/rooms/50707731?adults=2&children=0&infants=0&check_in=2021-10-22&check_out=2021-10-24&previous_page_section_name=1000&translate_ugc=false&federated_search_id=c35b7fca-5c41-4383-9a2d-c8843ea7f821,Brownstone-Morningside Heights-Harlem,Entire residential home in Manhattan,4 guests · 1 bedroom · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,5.0, (3 reviews),$128,SUPERHOST,https://www.airbnb.com/s/Manhattan--New-York--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&query=Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&place_id=ChIJYeZuBI9YwokRjMDs_IEyCwo&adults=2&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"New York, United States",$45,$65,$256,5.0,5.0,5.0,5.0,5.0,5.0,Joined in January 2014,163 Reviews,Language: Français,Response rate: 98%,Response time: within a few hours,House rulesCheck-in: After 3:00 PMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,"{""amenity_Bathroom"": [""Hair dryer"", ""Shampoo""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers"", ""Iron""], ""amenity_Entertainment"": [""TV""], ""amenity_Family"": [""Pack \u2019n Play/travel crib""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""First aid kit""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Cooking basics""], ""amenity_Parking and facilities"": [""Free street parking""], ""amenity_Services"": [""Self check-in"", ""Lockbox"", ""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Security cameras on property"", ""Unavailable: Washer"", ""Unavailable: Private entrance""]}"
/rooms/19314589?adults=2&children=0&infants=0&check_in=2021-10-29&check_out=2021-10-31&previous_page_section_name=1000&translate_ugc=false&federated_search_id=c35b7fca-5c41-4383-9a2d-c8843ea7f821,THE SMALL CHATEAU IN THE TREES,Entire rental unit in Alphabet City,3 guests · 1 bedroom · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,4.85, (316 reviews),$289,SUPERHOST,https://www.airbnb.com/s/Manhattan--New-York--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&query=Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&place_id=ChIJYeZuBI9YwokRjMDs_IEyCwo&adults=2&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"New York, United States",$92,$75,$578,4.9,4.9,5.0,4.9,4.9,4.7,Joined in June 2017,316 Reviews,Response rate: 96%,Response rate: 96%,Response time: within an hour,House rulesCheck-in: After 3:00 PMCheckout: 11:00 AMSelf check-in with keypadNot suitable for children and infantsNo smokingNo petsNo parties or eventsShow more,"{""amenity_Bathroom"": [""Bathtub"", ""Hair dryer"", ""Shampoo"", ""Hot water""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers"", ""Bed linens"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Iron""], ""amenity_Entertainment"": [""Ethernet connection"", ""TV with standard cable""], ""amenity_Family"": [""Babysitter recommendations""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""First aid kit""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace"", ""Pocket wifi""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Coffee maker""], ""amenity_Parking and facilities"": [""Free street parking"", ""Paid parking off premises""], ""amenity_Services"": [""Luggage dropoff allowed"", ""Long term stays allowed"", ""Self check-in"", ""Keypad""], ""amenity_Not included"": [""Unavailable: Security cameras on property"", ""Unavailable: Washer"", ""Unavailable: Private entrance""]}"
/rooms/40277968?adults=2&children=0&infants=0&check_in=2021-10-29&check_out=2021-10-31&previous_page_section_name=1000&translate_ugc=false&federated_search_id=c35b7fca-5c41-4383-9a2d-c8843ea7f821,Amazing Location- Center of MANHATTAN in Chelsea,Entire rental unit in Manhattan,3 guests · 2 bedrooms · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,4.88, (16 reviews),$325,SUPERHOST,https://www.airbnb.com/s/Manhattan--New-York--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&query=Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&place_id=ChIJYeZuBI9YwokRjMDs_IEyCwo&adults=2&source=structured_search_input_header&search_type=autocomplete_click&items_offset=0,"New York, United States",$95,$20,$650,4.6,4.9,5.0,5.0,5.0,4.8,Joined in October 2012,156 Reviews,Language: Polski,Response rate: 93%,Response time: within a few hours,House rulesCheck-in: After 2:00 PMCheckout: 10:00 AMNot suitable for infants (under 2 years)No smokingNo parties or eventsPets are allowedShow more,"{""amenity_Bathroom"": [""Hair dryer"", ""Shampoo"", ""Hot water""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers"", ""Bed linens"", ""Extra pillows and blankets"", ""Iron""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""First aid kit""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Refrigerator"", ""Microwave"", ""Cooking basics"", ""Dishes and silverware"", ""Dishwasher"", ""Stove"", ""Oven"", ""Coffee maker""], ""amenity_Parking and facilities"": [""Free street parking"", ""Paid parking off premises"", ""Single level home""], ""amenity_Services"": [""Pets allowed"", ""Luggage dropoff allowed"", ""Host greets you""], ""amenity_Not included"": [""Unavailable: Security cameras on property"", ""Unavailable: Washer"", ""Unavailable: Private entrance""]}"
