url,name,header,rooms,facilities,rating_overall,num_listing_reviews,price_per_night,superhost,sp_url,location,fee_occ_tax,fee_service,fee_cleaning,rating_cleanliness,rating_accuracy,rating_communication,rating_location,rating_check_in,rating_value,host_joined,num_host_ratings,host_languages,host_response_rate,host_response_time,house_rules,amenities
/rooms/40734111?adults=2&children=0&infants=0&check_in=2021-10-22&check_out=2021-10-24&previous_page_section_name=1000&translate_ugc=false&federated_search_id=05534286-4142-4a2c-8297-0d30762cce4e,Cottage style stay w/ jacuzzi near ferry,Entire rental unit in Staten Island,4 guests · Studio · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,4.79, (39 reviews),$90,SUPERHOST,https://www.airbnb.com/s/Staten-Island--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&adults=2&source=structured_search_input_header&search_type=autocomplete_click&query=Staten%20Island%2C%20NY%2C%20United%20States&place_id=ChIJ59T0ee9FwokReLy6NIUfJ1A&items_offset=0,"Staten Island, New York, United States",$35,$65,$180,4.8,4.9,5.0,4.6,4.9,4.9,Joined in July 2016,59 Reviews,"Languages: English, Español",Response rate: 100%,Response time: within an hour,House rulesCheck-in: After 4:00 PMCheckout: 11:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,"{""amenity_Bathroom"": [""Bathtub"", ""Hair dryer"", ""Shampoo"", ""Conditioner"", ""Body soap"", ""Hot water"", ""Shower gel""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers"", ""Bed linens"", ""Extra pillows and blankets"", ""Iron""], ""amenity_Entertainment"": [""Ethernet connection"", ""TV"", ""Sound system""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Indoor fireplace"", ""Portable fans"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Refrigerator"", ""Microwave"", ""Cooking basics"", ""Dishes and silverware"", ""Freezer"", ""Stove"", ""Oven"", ""Coffee maker""], ""amenity_Location features"": [""Private entrance"", ""Laundromat nearby""], ""amenity_Outdoor"": [""Patio or balcony"", ""Backyard"", ""Fire pit"", ""Outdoor furniture""], ""amenity_Parking and facilities"": [""Free parking on premises"", ""Free street parking""], ""amenity_Services"": [""Luggage dropoff allowed"", ""Self check-in"", ""Lockbox"", ""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Security cameras on property"", ""Unavailable: Washer""]}"
/rooms/17992512?adults=2&children=0&infants=0&check_in=2021-10-15&check_out=2021-10-17&previous_page_section_name=1000&translate_ugc=false&federated_search_id=05534286-4142-4a2c-8297-0d30762cce4e,Charming Suite in Historic Home,Entire residential home in Stapleton,2 guests · 1 bedroom · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,4.89, (330 reviews),$70,SUPERHOST,https://www.airbnb.com/s/Staten-Island--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&adults=2&source=structured_search_input_header&search_type=autocomplete_click&query=Staten%20Island%2C%20NY%2C%20United%20States&place_id=ChIJ59T0ee9FwokReLy6NIUfJ1A&items_offset=0,"Staten Island, New York, United States",$23,$20,$140,4.9,5.0,5.0,4.9,5.0,4.9,Joined in May 2016,330 Reviews,Response rate: 100%,Response rate: 100%,Response time: within an hour,House rulesCheck-in: After 4:00 PMCheckout: 11:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,"{""amenity_Bathroom"": [""Hair dryer"", ""Shampoo"", ""Hot water""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers"", ""Bed linens"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Iron""], ""amenity_Entertainment"": [""TV""], ""amenity_Family"": [""Pack \u2019n Play/travel crib"", ""Children\u2019s books and toys"", ""Outlet covers""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""First aid kit""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Refrigerator"", ""Microwave"", ""Cooking basics"", ""Dishes and silverware"", ""Dishwasher"", ""Stove"", ""Oven"", ""Coffee maker""], ""amenity_Location features"": [""Private entrance""], ""amenity_Outdoor"": [""Backyard""], ""amenity_Parking and facilities"": [""Free parking on premises"", ""Free street parking""], ""amenity_Services"": [""Luggage dropoff allowed"", ""Long term stays allowed"", ""Self check-in"", ""Keypad""], ""amenity_Not included"": [""Unavailable: Security cameras on property"", ""Unavailable: Washer""]}"
/rooms/43605445?adults=2&children=0&infants=0&check_in=2021-10-01&check_out=2021-10-03&previous_page_section_name=1000&translate_ugc=false&federated_search_id=05534286-4142-4a2c-8297-0d30762cce4e,Residency NYC Luxury Apartment RUMC/Wagner welcome,Entire rental unit in Staten Island,3 guests · 1 bedroom · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,4.95, (42 reviews),$88,SUPERHOST,https://www.airbnb.com/s/Staten-Island--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&adults=2&source=structured_search_input_header&search_type=autocomplete_click&query=Staten%20Island%2C%20NY%2C%20United%20States&place_id=ChIJ59T0ee9FwokReLy6NIUfJ1A&items_offset=0,"Staten Island, New York, United States",$35,$75,$176,4.9,4.9,5.0,4.9,5.0,4.9,Joined in October 2014,42 Reviews,Language: English,Response rate: 100%,Response time: within an hour,House rulesCheck-in: After 3:00 PMCheckout: 11:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or events,"{""amenity_Bathroom"": [""Hair dryer"", ""Shampoo"", ""Hot water""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers"", ""Iron""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""First aid kit""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Refrigerator"", ""Microwave"", ""Cooking basics"", ""Dishes and silverware"", ""Stove"", ""Coffee maker""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free parking on premises"", ""Free street parking""], ""amenity_Services"": [""Long term stays allowed"", ""Self check-in"", ""Lockbox""], ""amenity_Not included"": [""Unavailable: Security cameras on property"", ""Unavailable: Washer""]}"
/rooms/50021793?adults=2&children=0&infants=0&check_in=2021-10-08&check_out=2021-10-10&previous_page_section_name=1000&translate_ugc=false&federated_search_id=05534286-4142-4a2c-8297-0d30762cce4e,Elegant Nest.,Entire condominium (condo) in Staten Island,2 guests · Studio · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,empty,empty,$64,empty,https://www.airbnb.com/s/Staten-Island--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&adults=2&source=structured_search_input_header&search_type=autocomplete_click&query=Staten%20Island%2C%20NY%2C%20United%20States&place_id=ChIJ59T0ee9FwokReLy6NIUfJ1A&items_offset=0,"Staten Island, New York, United States",$22,$30,$128,empty,empty,empty,empty,empty,empty,Joined in July 2016,10 Reviews,Response rate: 100%,Response rate: 100%,Response time: within an hour,House rulesCheck-in: After 2:00 PMCheckout: 12:00 PMNot suitable for children and infantsNo smokingNo petsNo parties or eventsShow more,"{""amenity_Bathroom"": [""Hot water""], ""amenity_Bedroom and laundry"": [""Washer"", ""Dryer"", ""Essentials"", ""Hangers"", ""Iron""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Refrigerator"", ""Microwave"", ""Freezer"", ""Dishwasher"", ""Stove"", ""Oven"", ""Coffee maker"", ""Toaster"", ""Dining table""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free parking on premises""], ""amenity_Not included"": [""Unavailable: Security cameras on property"", ""Unavailable: Hair dryer"", ""Unavailable: Shampoo""]}"
/rooms/48758785?adults=2&children=0&infants=0&check_in=2021-10-15&check_out=2021-10-17&previous_page_section_name=1000&translate_ugc=false&federated_search_id=05534286-4142-4a2c-8297-0d30762cce4e,Frontbeach Love Home#Private#Free parking#cook,Entire rental unit in Staten Island,2 guests · Studio · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,4.85, (27 reviews),$106,SUPERHOST,https://www.airbnb.com/s/Staten-Island--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&adults=2&source=structured_search_input_header&search_type=autocomplete_click&query=Staten%20Island%2C%20NY%2C%20United%20States&place_id=ChIJ59T0ee9FwokReLy6NIUfJ1A&items_offset=0,"Staten Island, New York, United States",$38,$59,$211,4.9,4.9,5.0,5.0,4.7,4.9,Joined in March 2017,265 Reviews,"Languages: 中文 (简体), English, 한국어",Response rate: 100%,Response time: within an hour,House rulesCheck-in: 3:00 PM - 2:00 AMCheckout: 11:00 AMSelf check-in with smart lockNo smokingNo parties or eventsPets are allowedShow more,"{""amenity_Bathroom"": [""Hair dryer"", ""Cleaning products"", ""Shampoo"", ""Conditioner"", ""Body soap"", ""Hot water"", ""Shower gel""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers"", ""Bed linens"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Clothing storage: wardrobe""], ""amenity_Entertainment"": [""Ethernet connection"", ""TV""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""First aid kit""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Refrigerator"", ""Microwave"", ""Cooking basics"", ""Dishes and silverware"", ""Freezer"", ""Stove"", ""Oven"", ""Hot water kettle"", ""Dining table""], ""amenity_Location features"": [""Beach access \u2013 Beachfront"", ""Private entrance"", ""Laundromat nearby""], ""amenity_Outdoor"": [""Private backyard""], ""amenity_Parking and facilities"": [""Free parking on premises"", ""Free street parking"", ""EV charger""], ""amenity_Services"": [""Pets allowed"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Self check-in"", ""Smart lock"", ""Cleaning before checkout""], ""amenity_Not included"": [""Unavailable: Security cameras on property"", ""Unavailable: Washer""]}"
/rooms/13427412?adults=2&children=0&infants=0&check_in=2021-10-29&check_out=2021-10-31&previous_page_section_name=1000&translate_ugc=false&federated_search_id=05534286-4142-4a2c-8297-0d30762cce4e,"Extra clean, private entrance. 8 minutes to Ferry",Entire rental unit in Staten Island,3 guests · 1 bedroom · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,4.89, (199 reviews),$102,SUPERHOST,https://www.airbnb.com/s/Staten-Island--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&adults=2&source=structured_search_input_header&search_type=autocomplete_click&query=Staten%20Island%2C%20NY%2C%20United%20States&place_id=ChIJ59T0ee9FwokReLy6NIUfJ1A&items_offset=0,"Staten Island, New York, United States",$37,$60,$204,4.9,4.9,5.0,4.9,5.0,4.9,Joined in August 2012,515 Reviews,"Languages: English, Deutsch",Response rate: 100%,Response time: within an hour,House rulesCheck-in: After 2:00 PMCheckout: 11:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,"{""amenity_Bathroom"": [""Bathtub"", ""Hair dryer"", ""Cleaning products"", ""Shampoo"", ""Hot water"", ""Shower gel""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers"", ""Bed linens"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Iron""], ""amenity_Entertainment"": [""HDTV with Amazon Prime Video, Netflix, standard cable""], ""amenity_Heating and cooling"": [""Window AC unit"", ""Central heating"", ""Radiant heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit""], ""amenity_Internet and office"": [""Wifi \u2013 200 Mbps"", ""Dedicated workspace"", ""Pocket wifi""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Refrigerator"", ""Microwave"", ""Cooking basics"", ""Dishes and silverware"", ""Freezer"", ""Stove"", ""Samsung stainless steel oven"", ""Hot water kettle"", ""Coffee maker"", ""Wine glasses"", ""Toaster"", ""Baking sheet"", ""Dining table""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free parking on premises"", ""Free street parking""], ""amenity_Services"": [""Luggage dropoff allowed"", ""Long term stays allowed"", ""Self check-in"", ""Lockbox""], ""amenity_Not included"": [""Unavailable: Security cameras on property"", ""Unavailable: Washer""]}"
/rooms/22087812?adults=2&children=0&infants=0&check_in=2021-10-29&check_out=2021-10-31&previous_page_section_name=1000&translate_ugc=false&federated_search_id=05534286-4142-4a2c-8297-0d30762cce4e,Cozy Studio with Private Entrance,Entire residential home in Staten Island,2 guests · 1 bedroom · 4 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,4.85, (203 reviews),$77,SUPERHOST,https://www.airbnb.com/s/Staten-Island--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&adults=2&source=structured_search_input_header&search_type=autocomplete_click&query=Staten%20Island%2C%20NY%2C%20United%20States&place_id=ChIJ59T0ee9FwokReLy6NIUfJ1A&items_offset=0,"Staten Island, New York, United States",$22,$153,empty,4.9,5.0,4.9,4.7,5.0,4.9,Joined in December 2017,203 Reviews,Response rate: 100%,Response rate: 100%,Response time: within an hour,House rulesCheck-in: After 4:00 PMCheckout: 10:00 AMSelf check-in with lockboxNot suitable for children and infantsNo smokingNo petsNo parties or eventsShow more,"{""amenity_Bathroom"": [""Hair dryer"", ""Shampoo"", ""Hot water""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers"", ""Bed linens"", ""Iron""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm"", ""Fire extinguisher""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Refrigerator"", ""Microwave"", ""Cooking basics"", ""Dishes and silverware"", ""Stove"", ""Oven""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free street parking""], ""amenity_Services"": [""Long term stays allowed"", ""Self check-in"", ""Lockbox""], ""amenity_Not included"": [""Unavailable: Washer""]}"
/rooms/42643177?adults=2&children=0&infants=0&check_in=2021-10-01&check_out=2021-10-03&previous_page_section_name=1000&translate_ugc=false&federated_search_id=05534286-4142-4a2c-8297-0d30762cce4e,Staten Island - South Beach,Entire rental unit in Staten Island,4 guests · 2 bedrooms · 3 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,4.83, (36 reviews),$150,SUPERHOST,https://www.airbnb.com/s/Staten-Island--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&adults=2&source=structured_search_input_header&search_type=autocomplete_click&query=Staten%20Island%2C%20NY%2C%20United%20States&place_id=ChIJ59T0ee9FwokReLy6NIUfJ1A&items_offset=0,"Staten Island, New York, United States",$49,$50,$300,4.8,4.9,5.0,4.9,5.0,4.9,Joined in March 2016,36 Reviews,Response rate: 100%,Response rate: 100%,Response time: within an hour,House rulesCheck-in: After 4:00 PMCheckout: 11:00 AMNo smokingNo parties or eventsPets are allowedShow more,"{""amenity_Bathroom"": [""Shampoo"", ""Hot water""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers"", ""Iron""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Refrigerator"", ""Microwave"", ""Cooking basics"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Coffee maker""], ""amenity_Location features"": [""Private entrance""], ""amenity_Outdoor"": [""Patio or balcony"", ""Backyard"", ""Fire pit"", ""Outdoor furniture"", ""BBQ grill""], ""amenity_Parking and facilities"": [""Free parking on premises"", ""Free street parking""], ""amenity_Services"": [""Pets allowed"", ""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Security cameras on property"", ""Unavailable: Washer"", ""Unavailable: Hair dryer""]}"
/rooms/45773311?adults=2&children=0&infants=0&check_in=2021-10-22&check_out=2021-10-24&previous_page_section_name=1000&translate_ugc=false&federated_search_id=05534286-4142-4a2c-8297-0d30762cce4e,"Eclectic Private New Apartment  Westerleigh, S.I.",Entire rental unit in Westerleigh,4 guests · 1 bedroom · 3 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,4.78, (32 reviews),$109,SUPERHOST,https://www.airbnb.com/s/Staten-Island--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&adults=2&source=structured_search_input_header&search_type=autocomplete_click&query=Staten%20Island%2C%20NY%2C%20United%20States&place_id=ChIJ59T0ee9FwokReLy6NIUfJ1A&items_offset=0,"Staten Island, New York, United States",$41,$75,$218,5.0,4.9,4.8,4.9,5.0,4.7,Joined in June 2018,32 Reviews,Response rate: 100%,Response rate: 100%,Response time: within an hour,House rulesCheck-in: After 3:00 PMCheckout: 11:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,"{""amenity_Bathroom"": [""Hair dryer"", ""Shampoo"", ""Conditioner"", ""Body soap"", ""Hot water""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers"", ""Bed linens"", ""Extra pillows and blankets"", ""Iron""], ""amenity_Entertainment"": [""Ethernet connection"", ""TV with standard cable""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""First aid kit""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Refrigerator"", ""Microwave"", ""Cooking basics"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Coffee maker: Keurig coffee machine""], ""amenity_Location features"": [""Private entrance"", ""Laundromat nearby""], ""amenity_Parking and facilities"": [""Free parking on premises"", ""Free street parking""], ""amenity_Services"": [""Self check-in"", ""Keypad"", ""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Washer""]}"
/rooms/2889387?adults=2&children=0&infants=0&check_in=2021-10-22&check_out=2021-10-24&previous_page_section_name=1000&translate_ugc=false&federated_search_id=05534286-4142-4a2c-8297-0d30762cce4e,New York City near Staten Is. Ferry,Private room in Staten Island,3 guests · 1 bedroom · 2 beds · 1 private bath,Wifi · Air conditioning · Heating,4.98, (287 reviews),$85,SUPERHOST,https://www.airbnb.com/s/Staten-Island--NY--United-States/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_dates%5B%5D=october&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=flexible_dates&adults=2&source=structured_search_input_header&search_type=autocomplete_click&query=Staten%20Island%2C%20NY%2C%20United%20States&place_id=ChIJ59T0ee9FwokReLy6NIUfJ1A&items_offset=0,"Staten Island, New York, United States",$24,$170,empty,5.0,5.0,5.0,4.9,5.0,5.0,Joined in May 2012,287 Reviews,Response rate: 100%,Response rate: 100%,Response time: within an hour,House rulesCheck-in: 2:00 PM - 10:00 PMCheckout: 11:00 AMSelf check-in with smart lockNo smokingNo petsNo parties or eventsShow more,"{""amenity_Bathroom"": [""Hair dryer"", ""Shampoo"", ""Hot water""], ""amenity_Bedroom and laundry"": [""Washer"", ""Dryer"", ""Essentials"", ""Hangers"", ""Bed linens"", ""Extra pillows and blankets"", ""Iron""], ""amenity_Entertainment"": [""TV with standard cable""], ""amenity_Family"": [""Pack \u2019n Play/travel crib""], ""amenity_Heating and cooling"": [""Air conditioning"", ""Heating""], ""amenity_Home safety"": [""Smoke alarm"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Lock on bedroom door"", ""First aid kit""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Refrigerator"", ""Microwave"", ""Dishes and silverware"", ""Coffee maker""], ""amenity_Outdoor"": [""Backyard""], ""amenity_Parking and facilities"": [""Free parking on premises"", ""Free street parking""], ""amenity_Services"": [""Breakfast"", ""Long term stays allowed"", ""Self check-in"", ""Smart lock""], ""amenity_Not included"": [""Unavailable: Kitchen"", ""Unavailable: Private entrance""]}"
