,name,price_per_night,rating_overall,rating_cleanliness,rating_accuracy,rating_communication,rating_location,rating_check_in,rating_value,num_listing_reviews,num_host_ratings,host_response_rate,host_joined_months_ago,num_guests,num_bedrooms,num_beds,num_baths,superhost,borough,property_type,wifi,air_conditioning,heating,kitchen
0,Gramercy park Apartment (2beds),107,4.66,4.6,4.8,4.8,5.0,4.8,4.6,32,32,80,18,3,0,2,1.0,0,manhattan,apartment,1,1,1,1
1,Amazing Views in The Heart of Time Square,305,4.91,4.9,4.8,4.8,4.9,4.6,4.8,117,117,70,27,3,1,1,1.0,0,manhattan,apartment,1,1,1,1
2,FREEMAN'S HOUSE Charming Studio W/ Terrace  1402,159,4.67,4.7,3.3,4.3,3.7,5.0,3.3,3,307,96,24,2,1,1,1.0,0,manhattan,apartment,1,1,1,0
3,West Side Charm - Central Park! Uh,179,4.42,4.2,4.5,4.7,4.9,4.6,4.5,306,360,100,106,2,1,0,1.0,0,manhattan,apartment,1,1,1,1
4,West Village Style and Charm -Thoroughly Sanitized,130,4.97,5.0,5.0,5.0,5.0,4.9,4.9,220,234,100,89,2,1,1,1.5,1,manhattan,private room,1,1,1,1
5,"Writer's Sun filled cozy room , super convenient",115,4.97,4.8,5.0,4.9,5.0,4.9,5.0,37,141,100,82,2,1,1,1.0,1,manhattan,private room,1,1,1,1
6,Hudson River View King Bed at Higher Floor,298,4.72,4.8,4.7,4.6,4.9,4.8,4.7,352,502,95,4,2,1,1,1.0,0,manhattan,hotel,1,1,1,0
7,Brownstone-Morningside Heights-Harlem,128,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3,163,98,91,4,1,2,1.0,1,manhattan,house,1,1,1,1
8,THE SMALL CHATEAU IN THE TREES,289,4.85,4.9,4.9,5.0,4.9,4.9,4.7,316,316,96,50,3,1,2,1.0,1,manhattan,apartment,1,1,1,1
9,Amazing Location- Center of MANHATTAN in Chelsea,325,4.88,4.6,4.9,5.0,5.0,5.0,4.8,16,156,93,106,3,2,2,1.0,1,manhattan,apartment,1,1,1,1
10,Private Room on Historic Sugar Hill,60,4.7,4.7,4.7,4.8,4.7,4.7,4.7,557,1083,100,129,2,1,1,1.5,1,manhattan,private room,1,1,1,1
11,Nobel Experience,202,4.17,4.6,4.3,4.2,4.7,4.3,4.2,600,1047,98,27,2,1,1,1.0,0,manhattan,hotel,1,1,0,0
12,Nini’s Cozy Room,55,5.0,5.0,5.0,5.0,4.8,4.8,5.0,5,5,94,25,2,1,1,1.0,0,manhattan,private room,1,0,0,0
13,"Stay at the ""Claudette"" guest room in SoHa",95,4.86,5.0,4.9,5.0,4.9,5.0,4.8,43,43,100,63,2,1,1,1.0,1,manhattan,private room,1,1,1,0
14,Queen Bed With Private Bath Chinatown NYC,116,4.89,5.0,4.9,5.0,5.0,4.9,4.8,9,387,98,75,2,1,1,1.0,0,manhattan,private room,1,1,1,0
15,📍The Place to be📍Beautiful Studio in Heart of NYC!,155,4.58,4.9,4.7,4.8,4.4,5.0,4.5,38,49,100,8,2,0,1,1.0,0,manhattan,apartment,1,1,1,1
16,"Central Park Apartment-sanitizers, air purifier",123,4.88,5.0,4.9,4.9,4.9,4.9,4.8,197,339,97,33,2,1,1,1.0,1,manhattan,private room,1,1,1,1
17,"Clean, Comfy and Central Midtown Haven!",318,4.76,4.7,4.9,5.0,5.0,5.0,4.6,64,83,100,97,2,1,1,1.0,0,manhattan,condo,1,1,1,1
18,Amazing Micro Unit W/ communal rooftop and kitchen,195,4.52,4.6,4.6,4.6,4.9,4.8,4.5,533,1131,100,26,2,1,1,1.0,0,manhattan,hotel,1,1,1,0
19,Enjoy great views of the City!,163,4.23,4.4,4.3,4.4,4.9,4.4,4.2,757,1315,88,30,2,1,1,1.0,0,manhattan,hotel,1,1,1,0
20,NEW ! Chic Designer Blue,109,4.78,4.6,4.8,5.0,4.8,5.0,4.7,135,239,93,27,2,1,1,1.0,1,manhattan,private room,1,1,1,1
21,Newly renovated bedroom in the heart of Manhattan.,185,5.0,4.9,5.0,5.0,5.0,5.0,4.9,10,10,100,28,2,1,1,1.0,0,manhattan,private room,1,1,1,0
22,Modern Upper East Side Apartment near Central Park,150,4.67,4.7,4.8,4.8,4.9,4.6,4.7,245,258,100,50,2,1,2,1.0,0,manhattan,private room,1,1,1,1
23,Union Square Private Double & Single Bed w/ Shower,99,4.48,4.7,4.8,4.9,5.0,4.8,4.6,33,399,94,71,3,0,2,1.0,0,manhattan,private room,0,1,1,0
